category,topic,terms,nm_producao,nm_orientador,gamma
Social and Political Philosophy,12,"rousseau, religiao, educacao, natureza, estado",tudo sera para nos real para vos teatro leitura da carta a dalembert de rousseau a partir de seu discurso sobre a desigualdade,sergio luis persch,1.64
Social and Political Philosophy,12,"rousseau, religiao, educacao, natureza, estado",rousseau e o caminho tortuoso da humanidade da igualdade natural a desigualdade civil,sertorio de amorim e silva neto,1.64
Social and Political Philosophy,12,"rousseau, religiao, educacao, natureza, estado",rousseau da descricao ontologicoespeculativa do homem natural a critica do homem civil e das sociedades historicamente constituidas,marconi jose pimentel pequeno,1.64
Social and Political Philosophy,12,"rousseau, religiao, educacao, natureza, estado",a saude da crianca em rousseau,jose benedito de almeida junior,1.64
Social and Political Philosophy,12,"rousseau, religiao, educacao, natureza, estado",a formacao do homem para a soberania popular como principio de direito politico em jean jacques rousseau,regenaldo rodrigues da costa,1.64
Social and Political Philosophy,12,"rousseau, religiao, educacao, natureza, estado",opiniao e virtude em rousseau,roberto romano da silva,1.64
Social and Political Philosophy,12,"rousseau, religiao, educacao, natureza, estado",o homem depravado e a possibilidade de bem na filosofia politica de jeanjacques rousseau,helena esser dos reis,1.64
Social and Political Philosophy,68,"justica, rawls, principios, sociedade, equidade",justica como equidade uma concepcao politica de justica em rawls,thadeu weber,1.52
Social and Political Philosophy,68,"justica, rawls, principios, sociedade, equidade",a questao da estabilidade na teoria da justica de john rawls,marcos lutz muller,1.52
Social and Political Philosophy,68,"justica, rawls, principios, sociedade, equidade",john rawls uma teoria da justica e o liberalismo,dulce mara critelli,1.52
Social and Political Philosophy,68,"justica, rawls, principios, sociedade, equidade",a segunda posicao original o contrato social aplicado a sociedade dos povos segundo john rawls,jose crisostomo de souza,1.52
Social and Political Philosophy,68,"justica, rawls, principios, sociedade, equidade",os direitos fundamentais na doutrina de john rawls,joao carlos kfouri quartim de moraes,1.52
Social and Political Philosophy,68,"justica, rawls, principios, sociedade, equidade",preocupacao com a justica os principais conceitos da teoria da justica de john rawls,alvaro luiz montenegro valls,1.52
Social and Political Philosophy,68,"justica, rawls, principios, sociedade, equidade",jonh rawls e o estabelecimento de principios de justica atraves de um procedimento equitativo,marcos lutz muller,1.52
Social and Political Philosophy,68,"justica, rawls, principios, sociedade, equidade",o projeto rawlsiano de justica social para sociedade dos povos,thadeu weber,1.52
Social and Political Philosophy,68,"justica, rawls, principios, sociedade, equidade",economic inequality and proportionality how rich should the be,alessandro pinzani,1.52
Social and Political Philosophy,68,"justica, rawls, principios, sociedade, equidade",justica equitativa em john rawls uma teoria aplicada as acoes afirmativas,gustavo arja castanon,1.52
Social and Political Philosophy,18,"direito, direitos, estado, direitoshumanos, juridica",o olhare cosmopolita a atualidade da proposta kantiana para a paz perpetu,giuseppe tosi,1.44
Social and Political Philosophy,18,"direito, direitos, estado, direitoshumanos, juridica",paz guerra e intervencao no pensamento de kant possibilidades e limites do uso da forca no direito internacional,draiton gonzaga de souza,1.44
Social and Political Philosophy,18,"direito, direitos, estado, direitoshumanos, juridica",dignidade da pessoa humana um conceito dentro da perspectiva dos direitos fundamentais inscritos na constituicao federal do brasil e sua contraposicao as decisoes do supremo tribunal federal,carlos adriano ferraz,1.44
Social and Political Philosophy,18,"direito, direitos, estado, direitoshumanos, juridica",o projeto kantiano para a paz perpetua pressupostos morais juridicos e politicos,konrad christoph utz,1.44
Social and Political Philosophy,18,"direito, direitos, estado, direitoshumanos, juridica",constitucionalismo e resistencia em theodore de beze secularizacao e universalidade do direito de resistir na obra de du droit des megistrats sur leurs sujets de,maria das gracas de souza,1.44
Social and Political Philosophy,18,"direito, direitos, estado, direitoshumanos, juridica",critica filosofica do funcionalismo de jakobs a partir deuma visao naturalinstintiva do direito penal,wilson john pessoa mendonca,1.44
Social and Political Philosophy,18,"direito, direitos, estado, direitoshumanos, juridica",a era dos direitos em norberto bobbio fases e geracoes,antonio jose romera valverde,1.44
Social and Political Philosophy,18,"direito, direitos, estado, direitoshumanos, juridica",para a construcao da legitimidade pelas vias da integracao normativismo para uma cooperacao internacional sustentavel,agemir bavaresco,1.44
Social and Political Philosophy,18,"direito, direitos, estado, direitoshumanos, juridica",o estatuto do direito no comtismo brasileiro,joao carlos kfouri quartim de moraes,1.44
Social and Political Philosophy,18,"direito, direitos, estado, direitoshumanos, juridica",migrar e um direito natural dos povos ressignificando os argumentos de francisco de vitoria para demonstrar a universalidade do direito de migracao,roberto hofmeister pich,1.44
Social and Political Philosophy,47,"hobbes, estado, natureza, locke, poder",a luta e os limites do soberano depois do pacto,joao carlos brum torres,1.4
Social and Political Philosophy,47,"hobbes, estado, natureza, locke, poder",o conceito de obrigacao em hobbes,joao carlos brum torres,1.4
Social and Political Philosophy,47,"hobbes, estado, natureza, locke, poder",opiniao e obediencia civil na filosofia de hobbes,maria das gracas de souza do nascimento,1.4
Social and Political Philosophy,47,"hobbes, estado, natureza, locke, poder",o medo e a genese do estado no leviata de hobbes,iraquitan de oliveira caminha,1.4
Social and Political Philosophy,47,"hobbes, estado, natureza, locke, poder",medo razao e vontade fundamentos da obediencia politica em hobbes,miguel spinelli,1.4
Social and Political Philosophy,47,"hobbes, estado, natureza, locke, poder",o estado de natureza medo e esperanca em hobbes,paulo jonas de lima piva,1.4
Social and Political Philosophy,47,"hobbes, estado, natureza, locke, poder",as faculdades humanas e a politica em hobbes,wladimir barreto lisboa,1.4
Social and Political Philosophy,47,"hobbes, estado, natureza, locke, poder",o modelo mecanicista de hobbes e o pacto social,atila amaral brilhante,1.4
Social and Political Philosophy,47,"hobbes, estado, natureza, locke, poder",a perpetua condicao humana uma discussao sobre os fundamentos da natureza humana no leviata de hobbes,fernando jader de magalhaes melo,1.4
Social and Political Philosophy,47,"hobbes, estado, natureza, locke, poder",o medo uma paixao politica em thomas hobbes,jose luiz ames,1.4
Social and Political Philosophy,25,"habermas, discurso, racionalidade, fundamentacao, razao",a teoria da racionalidade habermasiana e suas implicacoes para a teoria social critica,franklin trein,1.37
Social and Political Philosophy,25,"habermas, discurso, racionalidade, fundamentacao, razao",a teoria da racionalidade harbermasiana e suas implicacoes para a teoria social critica,franklin trein,1.37
Social and Political Philosophy,25,"habermas, discurso, racionalidade, fundamentacao, razao",a categoria de esfera publica em jurgen habermas,marcos severino nobre,1.37
Social and Political Philosophy,25,"habermas, discurso, racionalidade, fundamentacao, razao",o uso publico da razao como procedimento pluralismo discurso e democracia em habermas,ricardo ribeiro terra,1.37
Social and Political Philosophy,25,"habermas, discurso, racionalidade, fundamentacao, razao",a leitura do resgate do projeto da modernidade segundo habermas,elve miguel cenci,1.37
Social and Political Philosophy,25,"habermas, discurso, racionalidade, fundamentacao, razao",a religiao no quadro da modernidade duas possibilidades de abordagem a partir da obra de jurgen habermas,jose pedro luchi,1.37
Social and Political Philosophy,25,"habermas, discurso, racionalidade, fundamentacao, razao",a utopia na obra de jurgen habermas,maria clara marques dias,1.37
Social and Political Philosophy,25,"habermas, discurso, racionalidade, fundamentacao, razao",a questao da fundamentacao a luz pragmatica transcendental,narbal de marsillac fontes,1.37
Social and Political Philosophy,25,"habermas, discurso, racionalidade, fundamentacao, razao",norma e utopia a transformacao da etica do discurso na teoria critica de seyla benhabib,yara adario frateschi,1.37
Social and Political Philosophy,25,"habermas, discurso, racionalidade, fundamentacao, razao",o ciberespaco como uma extensao do mundo da vida,ines lacerda araujo,1.37
Social and Political Philosophy,3,"adorno, esclarecimento, dialetica, horkheimer, razao",sobre o conceito de sacrificio na dialetica do esclarecimento,jeanne marie gagnebin de bons,1.34
Social and Political Philosophy,3,"adorno, esclarecimento, dialetica, horkheimer, razao",a formacao emancipatoria em adorno e a primazia provisoria da resistencia sobre a adaptacao no contexto educativo,rosalvo schutz,1.34
Social and Political Philosophy,3,"adorno, esclarecimento, dialetica, horkheimer, razao",o paradoxo da razao na dialetica do esclarecimento,sara juliana pozzer da silveira,1.34
Social and Political Philosophy,3,"adorno, esclarecimento, dialetica, horkheimer, razao",a realidade como ideologia sobre o problema da ideologia na obra de theodor w adorno,ruy fausto,1.34
Social and Political Philosophy,3,"adorno, esclarecimento, dialetica, horkheimer, razao",comportamento e pensamento unidimensionais em herbert marcuse,luigi bordin,1.34
Social and Political Philosophy,3,"adorno, esclarecimento, dialetica, horkheimer, razao",contribuicoes da arquitetura para a industria cultural de theodor adorno e max horkheimer,rodrigo antonio de paiva duarte,1.34
Social and Political Philosophy,3,"adorno, esclarecimento, dialetica, horkheimer, razao",a sociedade emancipada em herbet marcuse,isabel maria frederico rodrigues loureiro,1.34
Social and Political Philosophy,3,"adorno, esclarecimento, dialetica, horkheimer, razao",adorno e horkheimer a teoria critica como projeto de emancipacao,edvaldo souza couto,1.34
Social and Political Philosophy,3,"adorno, esclarecimento, dialetica, horkheimer, razao",o esclarecimento tardio razao e barbarie na teoria critica de horkheimer,maria theresa vaz calvet de magalhaes,1.34
Social and Political Philosophy,3,"adorno, esclarecimento, dialetica, horkheimer, razao",integracao social e adaptacao no diagnostico do mundo administrado de max horkheimer e theodor adorno,marcos severino nobre,1.34
Social and Political Philosophy,32,"liberdade, individuo, livre, condicao, forma",duas abordagens sobre a liberdade isaiah berlin em dois conceitos de liberdade e mikhail bakunin de ao fim de sua vida,marina isabel velasco,1.29
Social and Political Philosophy,32,"liberdade, individuo, livre, condicao, forma",uma renda basica resolve o problema da pobreza amartya sen philippe van parijs e a carestia contemporanea,amaro de oliveira fleck,1.29
Social and Political Philosophy,32,"liberdade, individuo, livre, condicao, forma",pobreza e privacao o pensamento politico de amartya sen para a construcao de uma sociedade democratica,maria clara marques dias,1.29
Social and Political Philosophy,32,"liberdade, individuo, livre, condicao, forma",capabilidade e desenvolvimento em amartya sen,alfredo santiago culleton,1.29
Social and Political Philosophy,32,"liberdade, individuo, livre, condicao, forma",a interdependencia entre etica e economia uma analise criticoconstrutiva da relacao fato e valor em sen e putnam,flavia carvalho chagas,1.29
Social and Political Philosophy,32,"liberdade, individuo, livre, condicao, forma",o estatuto da liberdade no individualismoholista de philip pettit e seu alcance politico no republicanismo,ericson savio falabretti,1.29
Social and Political Philosophy,32,"liberdade, individuo, livre, condicao, forma",da liberdade de acao do agente publico a luz dos conceitos de liberdade de isaiah berlin,cesar augusto ramos,1.29
Social and Political Philosophy,32,"liberdade, individuo, livre, condicao, forma",liberdade hegel e os contrapontos de ernst tugendhat e isaiah berlin,eduardo luft,1.29
Social and Political Philosophy,32,"liberdade, individuo, livre, condicao, forma",o paradoxo da liberdade em sartre a tacita desumanizacao,acylene maria cabral ferreira,1.29
Social and Political Philosophy,32,"liberdade, individuo, livre, condicao, forma",a liberdade e a participacao democratica no desenvolvimento humano um enfoque filosofico a partir de amartya sen,alfredo santiago culleton,1.29
Social and Political Philosophy,75,"sociedade, social, marcuse, sociais, sociedades",pressupostos e implicacoes do conceito de raca no alvorecer do seculo xxi a partir de achille mbembe,andre brayner de farias,1.05
Social and Political Philosophy,75,"sociedade, social, marcuse, sociais, sociedades",o conceito de desublimacao repressiva na teoria critica de herbert marcuse,ricardo jardim andrade,1.05
Social and Political Philosophy,75,"sociedade, social, marcuse, sociais, sociedades",as novas formas de controle em one dimensional man de herbert marcuse,antonio jose romera valverde,1.05
Social and Political Philosophy,75,"sociedade, social, marcuse, sociais, sociedades",raizes da institucionalidade uma tipologia filosofica e uma contribuicao teorica,jose crisostomo de souza,1.05
Social and Political Philosophy,75,"sociedade, social, marcuse, sociais, sociedades",resistencia e intervencao democratica no projeto de transformacao das tecnologias de andrew feenberg,helder buenos aires de carvalho,1.05
Social and Political Philosophy,75,"sociedade, social, marcuse, sociais, sociedades",nomisma riqueza e valor em homero platao e aristoteles,alcides hector rodriguez bendit,1.05
Social and Political Philosophy,75,"sociedade, social, marcuse, sociais, sociedades",hackear a tecnologia um estudo sobre a teoria critica da tecnologia de andrew feenberg,daniel durante pereira alves,1.05
Social and Political Philosophy,75,"sociedade, social, marcuse, sociais, sociedades",os limites da economia politica integrada estabilizacao ou desintegracao na perspectiva da teoria critica de herbert marcuse,imaculada maria guimaraes kangussu,1.05
Social and Political Philosophy,75,"sociedade, social, marcuse, sociais, sociedades",imaginando a mulher playboy o poster e seus desdobramentos,leon kossovitch,1.05
Social and Political Philosophy,75,"sociedade, social, marcuse, sociais, sociedades",para uma filosofia da deficioncia estudo dos aspectos tico social filosafico existencial e politico institucional da pessoa portadora de deficioncia,martins antonio hcampolina,1.05
Social and Political Philosophy,30,"acao, maquiavel, politica, poder, principe",relacao informacional uma alternativa ao paradigma causal na explicacao da acao,maria eunice quilici gonzalez,1
Social and Political Philosophy,30,"acao, maquiavel, politica, poder, principe",o conceito de stato em maquiavel elementos constitutivos da modernidade estatal,jose luiz ames,1
Social and Political Philosophy,30,"acao, maquiavel, politica, poder, principe",consideracoes sobre a politica de maquiavel a partir da natureza humana,rachel gazolla de andrade,1
Social and Political Philosophy,30,"acao, maquiavel, politica, poder, principe",aspectos filosoficos e atemporais da teoria politica de maquiavel,narbal de marsillac fontes,1
Social and Political Philosophy,30,"acao, maquiavel, politica, poder, principe",os fundamentos da republica e sua corrupcao nos discursos de maquiavel,milton meira do nascimento,1
Social and Political Philosophy,30,"acao, maquiavel, politica, poder, principe",poder paixao e corrupcao no estado,alessandro pinzani,1
Social and Political Philosophy,30,"acao, maquiavel, politica, poder, principe",a procura da virtu consideracoes sobre o principe novo em maquiavel,carlo gabriel kszan pancera,1
Social and Political Philosophy,30,"acao, maquiavel, politica, poder, principe",a virtu e o bom governo em o principe de maquiavel,jadir antunes,1
Social and Political Philosophy,30,"acao, maquiavel, politica, poder, principe",a refundacao do corpo politico um estudo das condicoes da autoridade politica e da acao renovador no pensamento de maquiavel,alberto ribeiro goncalves de barros,1
Social and Political Philosophy,30,"acao, maquiavel, politica, poder, principe",conselhos aos principes novos em o principe de maquiavel,yara adario frateschi,1
Social and Political Philosophy,45,"direito, juridica, regras, kelsen, hart",a questao da racionalidade juridica em hart e em dworkin,jose raimundo novaes chiappin,0.8
Social and Political Philosophy,45,"direito, juridica, regras, kelsen, hart",o positivismo juridico de hart e as criticas a teoria imperativa do direito,delamar jose volpato dutra,0.8
Social and Political Philosophy,45,"direito, juridica, regras, kelsen, hart",a metodologia na teoria da lei natural de john finnis proposito pratico caso central do direito e critica a tese da neutralidade,sergio ricardo strefling,0.8
Social and Political Philosophy,45,"direito, juridica, regras, kelsen, hart",justica entre a colisao de direitos fundamentais e ponderacao,thadeu weber,0.8
Social and Political Philosophy,45,"direito, juridica, regras, kelsen, hart",o principio da razoabilidade na nova lex mercatoria,rolf nelson kuntz,0.8
Social and Political Philosophy,45,"direito, juridica, regras, kelsen, hart",como construimos o direito a relacao entre fatos e valores na acao humana e a tese central do positivismo juridico,fabio perin shecaira,0.8
Social and Political Philosophy,45,"direito, juridica, regras, kelsen, hart",do desacordo a resposta correta tres ensaios sobre a critica interpretativista de dworkin ao positivismo juridico,alfredo carlos storck,0.8
Social and Political Philosophy,45,"direito, juridica, regras, kelsen, hart",pespectiva do positivismo juridico no seculo xx,fernando augusto da rocha rodrigues,0.8
Social and Political Philosophy,45,"direito, juridica, regras, kelsen, hart",a hipotese corpuscular na filosofia de john locke,jose raimundo maia neto,0.8
Social and Political Philosophy,45,"direito, juridica, regras, kelsen, hart",a relacao de sistemas juridicos no pensamento de h l a hart a comunicacao contida de conteudo,andrea luisa bucchile faggion,0.8
Social and Political Philosophy,56,"reconhecimento, justica, honneth, social, sociais",a justica a partir do absurdo e da revolta em albert camus,dulce mara critelli,0.68
Social and Political Philosophy,56,"reconhecimento, justica, honneth, social, sociais",economia cultura e normatividade o debate de nacy fraser e axel honneth sobre redistribuicao e reconhecimento,ricardo ribeiro terra,0.68
Social and Political Philosophy,56,"reconhecimento, justica, honneth, social, sociais",a luta por reconhecimento em honneth perspectivas de uma filosofia social,keberson bresolin,0.68
Social and Political Philosophy,56,"reconhecimento, justica, honneth, social, sociais",a teoria do reconhecimento de axel honneth individuacao e estima social,francisco jozivan guedes de lima,0.68
Social and Political Philosophy,56,"reconhecimento, justica, honneth, social, sociais",transcendencia intramundana na luta por reconhecimento uma apreciacao acerca dos potenciais transformativos na teoria normativa de axel honneth em perspectiva com o arquetipo hegelomarxista,felipe goncalves silva,0.68
Social and Political Philosophy,56,"reconhecimento, justica, honneth, social, sociais",uma analise da concepcao tridimensional de justica de nancy fraser redistribuicao reconhecimento e representacao,francisco jozivan guedes de lima,0.68
Social and Political Philosophy,56,"reconhecimento, justica, honneth, social, sociais",fundamentos eticofilosoficos do modelo de justica retributiva em questao os desafios lancados pela justica restaurativa,jose luiz ames,0.68
Social and Political Philosophy,56,"reconhecimento, justica, honneth, social, sociais",o mal como problema da punicao critica e superacao do atual modelo de justificacao,alfredo santiago culleton,0.68
Social and Political Philosophy,56,"reconhecimento, justica, honneth, social, sociais",revisitando a teoria da justica de nancy fraser velhas e novas questoes,alessandro pinzani,0.68
Social and Political Philosophy,56,"reconhecimento, justica, honneth, social, sociais",o reconhecimento como justica em axel honneth uma analise sobre a normatividade da interacao social como teoria da justica,thadeu weber,0.68
Social and Political Philosophy,9,"mulher, genero, mulheres, forma, sexo",rompendo ciclos de vinganca,marcos fanton,0.64
Social and Political Philosophy,9,"mulher, genero, mulheres, forma, sexo",a inveja em freud e melanie klein o movimento do conceito,francisco verardi bocca,0.64
Social and Political Philosophy,9,"mulher, genero, mulheres, forma, sexo",a cultura dos novos museus arquitetura e estetica na contemporaneidade,ricardo nascimento fabbrini,0.64
Social and Political Philosophy,9,"mulher, genero, mulheres, forma, sexo",a condicao paradoxal da obra de arthur bispo de rosario,celso fernando favaretto,0.64
Social and Political Philosophy,9,"mulher, genero, mulheres, forma, sexo",prazer e felicidade na civilizacao reflexao sobre a proposta de marcuse de uma reversao do principio de realidade de freud,francisco verardi bocca,0.64
Social and Political Philosophy,9,"mulher, genero, mulheres, forma, sexo",giordano bruno e o pensamento complexo,jose carlos bruni,0.64
Social and Political Philosophy,9,"mulher, genero, mulheres, forma, sexo",a casa da diferenca feminismo e diferenca sexual na filosofia de luce irigaray,hilan nissior bensusan,0.64
Social and Political Philosophy,9,"mulher, genero, mulheres, forma, sexo",os sentimentos na obra de dwwinnicott,zeljko loparic,0.64
Social and Political Philosophy,9,"mulher, genero, mulheres, forma, sexo",a civilizacao segundo freud e marcuse,iraquitan de oliveira caminha,0.64
Social and Political Philosophy,9,"mulher, genero, mulheres, forma, sexo",uma abordagem cognitiva do riso,joao de fernandes teixeira,0.64
Social and Political Philosophy,20,"agamben, excecao, estado, politica, giorgio",o poder da ordem e a ordem do poder em carl schmitt,carlo gabriel kszan pancera,0.64
Social and Political Philosophy,20,"agamben, excecao, estado, politica, giorgio",o que resta da identidade entre biopolitica e tanatopolitica em giorgio agamben,odilio alves aguiar,0.64
Social and Political Philosophy,20,"agamben, excecao, estado, politica, giorgio",estado de extincao ensaio sobre especismo e biopolitica,marco antonio valentim,0.64
Social and Political Philosophy,20,"agamben, excecao, estado, politica, giorgio",estado de excecao em giorgio agamben,ricardo timm de souza,0.64
Social and Political Philosophy,20,"agamben, excecao, estado, politica, giorgio",biopolitica em giorgio agamben reflexao critica sobre a legitimidade do poder soberano,ricardo monteagudo,0.64
Social and Political Philosophy,20,"agamben, excecao, estado, politica, giorgio",o trono vazio a teoria unitaria do poder na genealogia teologica de giorgio agamben,adriana delbo lopes,0.64
Social and Political Philosophy,20,"agamben, excecao, estado, politica, giorgio",a pura forma da lei em giorgio agamben,claudio oliveira da silva,0.64
Social and Political Philosophy,20,"agamben, excecao, estado, politica, giorgio",o papel do estado no debate entre carl schmitt e hans kelsen,luiz bernardo leite araujo,0.64
Social and Political Philosophy,20,"agamben, excecao, estado, politica, giorgio",do governo sobre a vida ao terrorismo de estado espectros de uma politica contemporanea da destruicao ou das categorias impoliticas do terror,georgia cristina amitrano,0.64
Social and Political Philosophy,20,"agamben, excecao, estado, politica, giorgio",estado securitario e biopolitica em giorgio agamben,odilio alves aguiar,0.64
Metaphysics,69,"kant, razao, transcendental, kantiana, razaopura",o problema da unidade da razao em kant,christian viktor hamm,2.11
Metaphysics,69,"kant, razao, transcendental, kantiana, razaopura",a antinomia da faculdade de julgar teleologica na terceira critica de kant,guido antonio de almeida,2.11
Metaphysics,69,"kant, razao, transcendental, kantiana, razaopura",a necessidade das ideias transcendentais para o sistema kantiano,vinicius berlendis de figueiredo,2.11
Metaphysics,69,"kant, razao, transcendental, kantiana, razaopura",o dom de uma ilusao uma necessidade no sistema teorico kantiano,francisco verardi bocca,2.11
Metaphysics,69,"kant, razao, transcendental, kantiana, razaopura",a reconstrucao da deducao transcendental de immanuel kant uma leitura critica da edicao a a parter de kemp smith,fernando augusto da rocha rodrigues,2.11
Metaphysics,69,"kant, razao, transcendental, kantiana, razaopura",a intuicao intelectual em schelling da intuicao de si mesmo a intuicao da natureza,wagner dalla costa felix,2.11
Metaphysics,69,"kant, razao, transcendental, kantiana, razaopura",estudo sobre a relacao entre metodo teoria e pratica na geneses da critica kantiana,jose arthur giannotti,2.11
Metaphysics,69,"kant, razao, transcendental, kantiana, razaopura",o idealismo transcendental de kant,hansgeorg flickinger,2.11
Metaphysics,69,"kant, razao, transcendental, kantiana, razaopura",sintese e discursividade na critica da razao pura de kant,carlos alberto ribeiro de moura,2.11
